,KEGG,PUBCHEM,HMDB,Blank_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Lr_6 h,Lr_6 h,Lr_6 h,Lr_6 h,Lr_6 h,EC_6 h,EC_6 h,EC_6 h,EC_6 h,EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Blank_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Lr_12 h,Lr_12 h,Lr_12 h,Lr_12 h,Lr_12 h,EC_12 h,EC_12 h,EC_12 h,EC_12 h,EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h
alpha-lipoate,C00725,864,HMDB01451,212612,215681,259815,192918,225579,203932,195428,234483,210566,208571,230526,,,,16131,,,25021,,28026,,43957,,,21603,,,,,19062,,197079,190813,211970,236912,205927,183748,227975,239654,190738,215189,211491,,,,14131,,219125,,,,,,,,,,,,,,
arabitol/xylitol,C01904,6912,,,820256,96103,734836,34016,999071,,,,,,,,,,,,80761,1134622,,1142577,197046,,,,109697,259958,,171686,,828821,,51231516,1820698,,1387016,27832558,,,,,,,,,,,28126618,752573,,734836,,154163,,,,,125181,,294305,,620932
arabonate/xylonate,,,,1954931,3277999,5190813,2022764,2857211,1870271,1889773,1850162,2517366,903224,2639657,5821935,6115293,6101788,4397174,5712395,5772117,6423373,6582942,6952609,5865976,5081260,5814437,5261602,4248035,5545711,5079944,5206824,3935393,4232199,5693117,1152045,4145684,5128762,4716063,3567395,3367839,2659052,1365888,1978497,1917042,3095284,6925694,6111921,7162865,6888897,7535685,4280500,8233007,7962014,8714120,7766679,6203133,5675905,6127476,6098711,5136036,6059556,5792926,4982495,6157061,6245247
argininate*,,160437,HMDB03148,,,,,,,1658762,3098238,3153708,1923695,654148,,,,,,,,,,,2781293,2532475,3362620,3935831,691209,2048240,2525598,2607089,2760657,,,,,,,,2546233,3532721,3677050,2878068,932685,,,,,,,,,,,1901680,2812022,3758730,2786708,1000319,3420426,2877415,2938921,2795898,1490311
arginine,C00062,232,HMDB00517,5303617536,5235478528,5213474816,5469711360,5039718912,5168337920,4979281408,5327180800,5125134336,5175186944,5153558016,5060432384,4991822848,4928599040,4938438144,4760974336,4596320256,4963575808,4704071168,4700573696,4852051968,4815710720,4776515584,5041617920,4789051392,4642210816,4521570816,4836025856,5101420032,4723104256,5123650560,5099090944,5197439488,5005857792,5307360768,5150894592,5272584192,5468275712,5446957568,5348316672,5500427776,5312422912,4812089856,5156652032,4857959424,4955112960,4763442176,5038267904,5034418688,4726144000,5114150400,4819429376,4760926720,5062666752,4945515008,4951653376,5020139008,4995420672,4772805632,4907572224,4754671616,4993421312
argininosuccinate,C03406,16950,HMDB00052,,,,,,,,,,,,413352,557416,415987,355339,750111,370884,448764,861977,329313,375061,870068,390679,640002,372564,350815,306771,471902,494008,453497,340464,,,,,,,,,,,,1027369,,445672,323586,511823,,835879,1062048,495376,873099,346445,340170,1088712,541071,384900,592021,513194,453599,468846,482495
asparagine,C00152,6267,HMDB00168,444541152,439061888,441012192,468521216,414505728,439971360,355951840,429776448,369131712,390210560,409338944,441805952,428608832,430588064,409652864,391211872,373470784,435447360,383890368,397548448,368919040,306194144,319750880,333827232,299027232,330542688,282150656,325509728,328758336,312560896,378468800,431959968,341669024,356575488,373970016,364909792,376526048,412752640,413483616,370845888,407487648,419721888,410804352,438366848,398610592,429949024,381798816,355015648,390079488,361709760,397542592,356742016,289752768,358526944,333736576,330535328,292650880,337462944,328080928,295291072,311036160,326927488
aspartate,C00049,5960,HMDB00191,85415792,84869160,86186792,92256232,81579912,85071232,75297328,87779856,82901600,88238496,80704496,1598295,2108042,2358274,1681958,1967088,1804494,2336742,2821721,2362880,2325502,2960746,2692826,8510964,8780035,2163262,3044919,3176685,10318810,8913410,2759301,84077336,78323144,79820744,85133464,80040560,81875560,89914072,88829968,90576144,96644536,83356832,838201,846984,1583668,647639,1116227,80956704,5181347,4673285,4277979,4204905,5213504,4338362,11821065,5751238,3117324,6850268,6964067,15709644,6491854,4431062
benzoate,C00180,243,HMDB01870,,612296,962962,730700,710454,787656,709369,617988,797837,474023,643678,691525,487328,648363,817421,617781,565902,677410,573104,565035,488984,931189,474142,746929,703394,1439858,576498,715163,771489,680008,622461,284619,638550,759783,630445,1022804,752870,873114,800776,586223,895212,762297,677021,558657,549119,1903313,588973,1719651,500229,1363358,556434,562906,861046,471420,682995,772111,676052,751574,1738667,749115,492137,655199
beta-alanine,C00099,239,HMDB00056,,,,,,,,,,,,1409300,602512,961782,999496,1204347,1161557,1257018,1363171,1603396,1781440,1874684,1647424,1307615,2018551,1355448,1602687,841042,1089624,1890050,1490459,,,,,,,,,,,,1675971,,,,2137499,,,1703191,1949717,,2231379,1271740,1272016,2548913,,1056500,,1125734,2194679,2314390
betaine,C00719,247,HMDB00043,2124665,11290135,6223943,4491676,4698227,5249356,4774605,14582433,8669424,7347166,3320960,345301952,249874656,350849952,312234624,240000208,301381248,243352384,284440160,297842304,218827056,240968336,187676976,268919296,235000592,198344848,226380032,176376544,282035424,222296560,229734352,2317003,4178479,3721485,3054187,2445223,3481101,3657445,15258956,6592523,11724609,5150733,378822656,331703520,402268064,390902208,302653312,3748314,223991296,249515760,244154336,205878752,368963136,275939104,330614464,339050176,244245440,329174976,234584624,345166048,268004400,230384656
biotin,C00120,171548,HMDB00030,1927893,1911914,1912753,2022734,1791044,1844073,1641503,2128190,1660249,1881649,1903412,1880017,1809886,2129387,1968163,1735943,1510684,1722722,1574457,1729029,1587834,1478656,1789217,1802526,1793058,1330186,1312216,1753674,1880303,1551244,1915974,1929125,1488672,1937134,1833825,1909224,1791104,2134391,2091826,1707459,2183494,2167617,1743629,1974103,1754074,1850240,1660457,1681986,1743766,1619506,1917527,1539596,,1980820,1844490,1930130,1664994,1764966,1753195,1683858,1961110,1827405
carnitine,C00318,10917,HMDB00062,,,,,,,,,,,,1696373,1260645,2179296,2978849,1638472,1409438,2465376,2083553,3256729,1479238,,485993,680808,843859,653348,121542,,1303338,795372,758845,,,,,,,,,,,,1920527,2327791,2886852,4557136,3123954,,1228426,1338111,2476295,1227056,2043519,933229,1347300,2046877,716700,,368147,1788173,787353,
carnosine,C00386,439224,HMDB00033,,,,,,,,,,,,877865,1137420,1190011,1017844,905148,787931,1201069,984391,1317988,782670,263319,243554,323005,223687,321961,141769,292922,360510,317124,506632,,,,,,,,,,,,1008387,1351298,1393470,2004641,1363403,,1223731,1302792,2481512,950938,512146,480819,384179,574174,352711,311286,372718,321923,288631,428726
cholesterol,C00187,11025495,HMDB00067,,,,,,,,,,,,127170,360480,395604,407976,235305,222601,146107,180043,355569,173263,121461,,231311,230755,250694,,126525,459304,284560,202462,,,,,,,,,,,,164347,216505,284115,366520,286668,,157999,172916,324104,188343,347242,201715,361953,308612,319600,233517,704612,485348,275469,156767
choline,C00114,305,HMDB00097,1157931776,1115645056,1132708352,1179011712,1090918656,1155827456,1096949248,1124813056,1105704064,1104888704,1094590208,1049099008,1001443840,1008395072,1006297856,941241536,956886912,965731520,997227392,988976448,995407680,1045996992,1003637888,1113761152,1082246528,952893184,993501248,984273344,1153700480,1060722560,1060100928,1115845120,1012929088,979078720,1088577792,1008124224,1058976064,1140873856,1143561984,1154656896,1183849216,1121005440,947616128,975205440,1007938752,1057312128,956075840,991378560,978547136,982990400,1048496576,987330304,1128561664,1121721088,1182110976,1152531584,1066642752,1174561920,1055214656,1255499520,1136881408,1082665728
choline phosphate,C00588,1014,HMDB01565,,,,,,,603746,,,774020,,25149276,26882872,32852156,40000216,38054260,36741272,37344020,49198772,39101064,53439900,13677509,15914059,24335376,23349928,34017176,14674444,15880952,25482254,20436936,35594784,,2997802,3463729,3868905,3295371,3354273,,,,354627,,23873540,29987446,32278216,32369388,42040800,3217579,132100392,118895776,185992704,120841648,15556799,19448466,23322356,19510374,29924090,21321388,19002480,26712622,23884720,44389144
citrate,C00158,311,HMDB00094,29069,281114,94258,260485,,259195,231144,553224,322588,93444,515479,25989724,24151222,27272156,28002440,23603878,23522240,27467796,25493550,27713140,22096756,10507123,9133418,6522376,5876333,20259422,9989869,9307471,4159899,5462103,20514252,,244833,148667,304162,52286,425996,271492,518232,292108,63295,421990,31360892,30710764,29339638,32350812,26456590,292200,27028950,25639394,29535276,24789260,3929954,9672208,4781798,4667569,17119918,7700297,8077757,2711196,6144916,15236569
creatine,C00300,586,HMDB00064,,,,,,,,,,,,28315172,25675862,30472114,28196892,32732806,26161104,31084822,27300804,34225000,27893876,27436116,26725006,28534360,28746956,33066352,22771440,25426100,31947780,29852746,35205964,,,,,,,,,,,,33797984,33644272,30121608,40082612,40089788,,29081476,29894636,42878520,37789404,41767388,29529546,28034852,35516440,31520090,31345312,27890324,32194964,26024564,33724840
creatinine,C00791,588,HMDB00562,570439,324309,808285,289556,573377,533541,571470,302737,,346030,165715,13465429,12932533,17351416,14381362,13665645,13264444,15175334,12676918,26225060,11284395,17932500,14275687,15071600,13826392,12147735,11656700,11685702,26043590,22333032,20488252,,183014,254662,271707,122192,164777,,1053644,99762,458178,,13792868,12763374,17981612,39129284,25450044,665366,14220471,14225212,43758648,10862874,41438208,15596763,19586444,33373318,19783772,18492104,12930831,27256560,16818838,12292899
cystathionine,C02291,439258,HMDB00099,,,,,,,,,,,,,,189363,146080,,,193329,,228199,103473,163503,185588,166743,154491,,,,202412,299840,,,,,,,,,,,,,137092,209468,205912,285819,212994,,173037,,504647,,445246,238098,291550,424591,268310,270107,231346,260001,230519,
cysteine,C00097,5862,HMDB00574,8216431,8431414,9886414,9617779,9401131,8731885,7194510,9310692,8043515,9262108,7335466,11532407,11561507,8505656,10238700,10229768,9293345,11863537,9403306,11024518,9510441,16055470,13691589,12473837,15370045,9039534,12153547,14410803,13457865,13953884,14066286,7130058,6929541,9374356,9697537,8378698,8508065,9281894,8881562,8337538,9594246,7899376,12332270,11452942,10343050,11246607,9986963,8498334,13292878,10690383,13865413,10506907,19082856,14414590,14877064,14442623,11085874,13949752,12594783,13832180,13320676,13151942
cysteine s-sulfate,C05824,115015,HMDB00731,9540905,7644423,9731361,7805910,9501227,7669080,6865004,8114188,7571282,6924941,7127213,5977215,5850134,6556899,3202131,5259056,5848276,6869803,7088429,7324080,5802804,4839075,4463395,4788929,4309771,5128687,4426047,4306291,4538383,4394248,4938758,7342900,8878252,8597400,8785469,7528169,7531104,7267548,7053369,8564507,8163277,7403532,5779605,5955419,6722046,7334364,6821128,8649504,6345485,6839612,6409142,6781046,4757331,4951292,4700543,4506567,4278424,4515578,5496140,5171626,4700235,4925461
cysteine sulfinic acid,C00606,109,HMDB00996,345389,364685,378684,368057,380205,425284,546501,457813,386009,457015,361972,,,,,,,,,,,,,,,,,,,,,342768,822090,497510,552607,500180,509402,396817,399905,674774,419343,434851,,,,,,511980,,,,,,,,,,,,,,
cysteine-glutathione disulfide,,4247235,HMDB00656,,,,,,,,,,,,,,,153784,252246,157844,181625,,166691,342443,,,,,,,,,,,,204372,237011,197445,288977,240088,,,,,,,,,,190531,184443,711176,539950,751582,797180,,,,,,,,,,
cysteinylglycine disulfide*,,,HMDB00709,485977,297641,260026,378953,268267,365409,228100,319634,282721,215318,379082,757492,904288,594769,910047,1129740,651956,1273132,850903,877271,1165945,,,,,,,,,,222130,514188,331971,414392,309084,272392,421943,296850,343860,366061,319383,381781,603039,869502,522265,794605,887976,285538,3671898,3521053,3722966,3295118,,316820,,,,,,,,90712
cystine,C00491,67678,HMDB00192,242072224,244431376,252672304,255228304,228961664,260058256,209491936,246858528,224090080,232363328,230687952,207069744,225805968,235065008,210719584,203902480,185104080,223375104,202131392,213753344,187879568,187652320,190775952,211158064,220131984,179351200,187032480,206409312,219316704,207739280,228289264,235856752,174325312,205992592,221698144,212803264,206610144,230436432,227603200,206569216,253282128,237848656,198096640,215411104,216359968,243409408,207433616,191187232,215859376,200205936,208585952,177989680,195636880,218610736,218387072,235252512,202543216,218249504,211126080,199895456,194819664,191846976
cytidine,C00475,6175,HMDB00089,,,,,,,367449,151126,286084,195067,458834,1004517,954019,1203972,985778,1100379,889741,930486,1298093,1365453,1206159,6130994,3106135,4986713,6516597,3684683,7435409,2963877,5408568,4990320,6379563,,,172589,132692,97144,85055,538198,249613,258151,356204,647880,1034139,888622,1206601,1386187,1180350,141447,1949591,1789807,3522657,1590450,8107131,2521893,4001609,3832782,6292467,5971192,2507057,4459606,4346616,4261845
cytidine 5'-monophosphate (5'-CMP),C00055,6131,HMDB00095,,,,,,,159907,698992,752346,240355,417997,,,,,,,,,,75107,,,,321537,187844,,,251934,149583,248649,,,,,,,261208,815032,916591,258810,505000,,,,,,,246505,255495,322659,221589,,,157351,,208216,,,289279,,277661
cytosine,C00380,597,HMDB00630,,,,,,,,,,,,,,,,,,,,,,225941,255216,216963,252715,,,250842,249349,333291,,,,,,,,,,,,,,,,,,,,,,,275827,313442,445105,326342,72730,275547,321696,327567,329087,175885
deoxycarnitine,C01181,134,HMDB01161,,,,,,,,,,,,1390550,1324155,1673284,2298583,2009278,1071613,1703759,1221837,1243391,1338619,555811,255571,637434,707218,576610,,,889876,611591,839561,,,,,,,,,,,,1577481,2003230,1841770,2336558,1952700,,,1174131,1675914,767872,879191,457931,819934,1248790,,496971,,1018989,367640,
diacetylspermidine*,,,,,,,,,,1247039,3059442,3739036,3142243,1629487,,,,,,,,,,,2168487,3367331,5167371,3907367,2629353,2626035,3232389,5222122,4263411,2910036,,,,,,,1621371,3193765,4318454,3567302,1687686,,,,,,,,,,,3398190,3738934,4919270,4335865,3721650,3083118,3338565,5529138,4758225,3338530
dihydroorotate,C00337,648,HMDB03349,349072,571135,810275,475267,876588,355312,14835904,17907208,11618516,11988297,7268532,,,,,,,,,,,64255916,148805776,46406016,71705352,36458236,50497624,146216032,32750696,76079560,54517660,316420,20616670,42639864,19987636,25135480,24654958,22132424,18140794,11701130,15310549,10868007,,,,,,22544516,14824823,3652340,19953550,4261307,47151152,97941992,32360512,43042608,92103240,38800364,90931824,31729268,45182240,73721048
dimethylarginine (SDMA + ADMA),C03626,123831,HMDB01539,,,,,,,,,,,,22384596,21026040,24043272,24100482,21897468,19146884,23648196,21992044,25569008,22567284,19319518,18973872,22583722,19720256,21321548,16546038,18024484,26604204,23127296,26721030,,,,,,,,,,,,25985906,28224560,29250942,33061374,29635050,,25934896,26162154,39156672,27393866,27639898,24116676,27288936,30528488,30599772,25093800,21841976,27350634,25117156,27798700
erythritol,C00503,222285,HMDB02994,,,,,,,,,,,,143594,100805,161200,136982,220306,286379,157691,194361,252876,180309,572313,323545,527015,321289,375988,394239,303886,,396728,270678,,,,,,,,,,32383,,186047,115421,,314395,380213,,143570,252212,454795,296891,627354,303850,498593,432535,,441505,280579,839890,380208,310809
erythronate*,,2781043,HMDB00613,6569698,5827393,6981387,6078418,6951043,4507511,4576802,8069681,4949100,7360451,5643557,64233556,68488344,74592064,55514940,66313536,60542908,77988760,74491200,90759224,67993136,61523896,63566816,67342464,63777748,69226552,55365996,60166448,49221812,70969512,74434888,6844957,15113899,18553532,13187758,16025668,15040224,5351248,5895934,5906033,6443916,5651939,77416664,83080592,87818376,114981352,94145688,14037817,90511848,94636096,118243704,93309944,78253368,72111384,74117840,92721160,56154412,69358816,62190644,75197448,78394952,82695408
ethylmalonate,,11756,HMDB00622,,,,,,,,388531,,,,709182,765838,540375,541527,420280,729892,890524,,701434,869464,413727,518908,387431,603216,780901,824610,666112,236027,899591,,,,,,,,,,,,,538069,870460,675265,826035,701434,,953516,842735,1107004,1075283,910265,665958,629355,901065,420749,493655,640721,883936,682274,887019
folate,C00504,6037,HMDB00121,425511,443504,506557,465102,463570,543998,493077,480100,480969,412649,470545,454794,462703,525389,443378,489413,491483,492828,441942,518572,498970,529919,444864,487708,456532,485027,433967,474101,488575,475801,455905,408411,464775,513853,472396,520157,462454,481492,466865,392217,493544,484150,479198,477290,517694,600196,527422,470367,507918,473893,606280,428530,557571,495580,449911,534333,432744,496605,431324,468932,444660,412699
fructose,C00095,5984,HMDB00660,2197592,2472340,1719757,2796177,2676888,2693065,1332816,714643,1210233,789822,1347108,14589849,6045601,10629677,8185101,11894194,15101296,6978941,10065614,11780623,15942136,,,,,323524,,,,,279367,2432842,2074129,1033619,1260485,1102572,1560989,1265877,743168,1261195,765516,1552635,15796847,6936491,11502479,10670565,12892435,1811823,2511839,2798951,6935619,7694100,194674,,,,,,,,,
fructosyllysine,,123708,,67638144,65060580,56708788,69846448,66932800,59340388,46716288,56007752,42513276,49175892,66688148,48136012,43526260,40944920,40521432,35515248,36304964,36330448,29169552,54309524,34966564,85594,299478,277654,249419,9880182,165721,291993,425895,222377,10352192,79604928,2926745,2381971,5655524,3304118,4834344,55013660,48674836,52096136,45157560,64579792,36753792,37519380,34497008,60127720,39480140,4035682,4033590,1732404,7575185,3261746,361927,381633,204596,365409,267839,143640,331184,394307,257284,166372
fumarate,C00122,444972,HMDB00134,,,,,,,305790,,126218,,184646,3018182,2643239,2656095,1286664,2794575,2773332,2687360,2920221,2794575,2647676,3488545,2662645,2969974,3002633,2938145,3127132,2442954,1891227,3058213,2608933,,764854,707974,586516,627111,681466,391881,,289354,145995,205436,3976306,3314044,3088388,2735065,2816795,713870,4707153,4488555,4547256,3979747,3988841,2877246,3767034,3473002,2104168,4109416,3338443,3935721,3687174,4101310
gamma-glutamyl-alpha-lysine,,65254,,,,,,,,,,,,,217543,,259481,,,225513,,,98829,,248636,,198120,,,227846,,287715,232462,,,,,,,,,,,,,271968,236082,360377,399714,220159,,296053,182424,665493,,621212,225021,,334834,215971,278036,,223645,183353,202624
gamma-glutamylalanine,,440103,HMDB29142,,,,,,,,,,,,1357981,1131118,1006614,869107,654893,1149157,1294515,1321634,1017541,780171,371027,467374,515563,375858,749359,493547,275065,310950,271896,601051,,,,,,,,,,,,1721815,1403578,1438041,1224605,702886,,1317823,1288951,1566238,1099827,553456,666700,527172,630483,664574,636885,676366,456012,510601,576703
gamma-glutamylglutamine,C05283,150914,HMDB11738,6134322,6918585,8655567,9166142,7315941,7387360,5577610,8592236,6297991,7369093,6273314,171834144,168899904,127561984,125269792,97701760,141187632,158065600,131531360,117136896,98639320,128086104,85845864,90207616,85052232,94175216,112409072,100402232,81295144,95225312,116372800,5794848,6130091,7508290,9232595,6058354,7541362,7187947,6732134,7829485,7616643,6856254,185281968,160577264,144794016,152667632,120760240,6056774,175401904,131202256,121834592,105225040,95211744,105773344,105019512,89673128,97333808,123709856,107040568,82221656,86645072,103842880
gamma-glutamylhistidine,,7017195,,,,,,,,,,,,,414011,351177,322395,241710,,388956,441417,355594,304294,,417586,,331369,262313,177000,260247,,345562,261878,,,,,,,,,,,,,532133,362358,387129,405277,,,513474,407749,485231,326726,,402138,190216,310519,,480578,401442,,291131,176596
gamma-glutamylisoleucine*,,14253342,HMDB11170,1097679,1114057,1189267,1119429,1106155,1125910,704881,592323,394917,628011,908541,2461542,1976188,2335756,2009607,1599546,1877310,2158716,2067011,2138122,1516562,437716,395937,391974,450271,848330,366058,395215,525321,293140,1173866,1164131,725001,1194116,973241,1187803,1062747,801886,644308,447089,676004,837266,2702500,2657781,2152372,2610313,1794748,991901,2560622,2111105,3163138,1875424,594449,568465,580015,472919,862515,653762,482795,472601,414237,862250
gamma-glutamylleucine,,151023,HMDB11171,298736,389710,,291463,385940,253741,,,,123383,242021,1013004,937050,946990,693469,628093,827908,840746,754209,890424,547082,,,,,298919,,,179711,,,285699,184253,,297619,282590,302582,163785,,,,,1068771,1088234,884298,778916,903600,196626,1270170,825475,1133283,717226,,,,204904,378725,,,,,263025
gamma-glutamylmethionine,,7009567,HMDB29155,,,,,,,,,,,,3163230,2594867,2338120,2457071,1579105,2815877,2852108,2353412,1996751,1271954,272035,260099,223496,217795,477225,298615,236250,,,453089,,,,,,,,,,,,3931030,3234502,3053064,2851390,1844127,,3005088,2626988,2650452,1994955,,663764,356288,354472,313109,575546,451925,403865,323234,419979
gamma-glutamylserine,,,,,,,894671,,920164,,,,653179,,3073032,2581142,2058684,2288481,1715844,2480658,2160787,2424665,2521412,1393109,2813750,754714,1913980,901841,1076558,1289679,1724756,1625082,1541280,1436447,,,1038552,,,,,,,,,3047188,2442678,2048965,2497783,1106164,,3137999,2276884,2144670,1911162,1886331,1639950,1779293,1494268,1522900,2295393,1674394,1575106,919210,1138198
gamma-glutamylthreonine,,76078708,HMDB29159,,,,,,,,,,,,265514,250526,351502,190345,204480,220429,272504,308603,334623,,121146,,165213,189537,,131167,126549,221049,177240,259676,,,,,,,,,,,,323301,212373,390583,538039,257096,,304428,261848,579235,,348198,229366,215822,327163,196566,297536,,,157093,
gamma-glutamylvaline,,7015683,HMDB11172,3357059,3417904,3376028,3456045,2876034,3222244,1314024,1549687,1133896,1319349,2503304,3651548,4376354,4042132,3848617,3723301,3364042,4202318,3543096,3557457,3483716,957399,724232,694398,764670,2142604,814888,741325,717208,621326,3131270,2989177,3990039,5175697,4423277,4132174,4460206,1269963,1190351,879924,933371,2669143,4030027,3719300,4111928,4019004,3755066,3989541,4928185,4653474,5470743,4054260,1011155,712610,593063,393751,1631029,602788,728562,503109,325580,1521864
gluconate,C00257,10690,HMDB00625,4854986,6005841,5174975,4932719,5719225,4555577,12461170,12130649,10096382,16990740,18924762,4921075,5700666,4536485,2768260,4754728,5239361,5812669,5548988,6049828,4517105,8468414,4497287,6269540,6922695,14281649,5870903,4317370,5208362,5795507,13375144,3561624,6686336,6389244,5204122,6831881,4512556,14905361,11627461,13898287,20991248,21687526,4264987,5121195,4925431,5512181,5267385,5140580,5483551,6088534,6319089,5300467,5484914,3386232,5986424,4437617,11024796,6077366,3360549,4504956,6163229,10928157
glucose,C00031,5793,HMDB00122,1834841600,1825283840,1991782400,1814095104,1874943360,1831074432,1387305216,1798701824,1497370368,1496146944,1649407232,1366256000,1310587136,1318962432,1089565312,1219830656,1167387648,1368061056,1128277504,1424513152,1089654784,372436,1580302,425126,1009696,596292480,,820138,,921064,634210240,1810455168,335880960,316259968,514929888,347321600,483891904,1483423488,1503067264,1341972096,1495251200,1638963200,1241170688,1166989824,1080497280,1369448192,1090662912,424193408,221264592,106733296,309816128,228296064,,1387420,,1618256,,,1173002,,2113288,171994
glucuronate,C00191,444791,HMDB00127,,,,,,,,,,,,1029752,517624,1018145,473319,1271696,,641829,760170,668730,,,553846,539133,453607,,,411214,150165,427751,723956,,,,,,,,,,,,1129118,625788,446864,699090,266288,,647913,600025,902412,571426,786823,499000,494566,630835,,422758,414057,,617606,516497
glutamate,C00025,611,HMDB00148,604403776,611543040,609171136,637279808,580980224,592383552,590044096,633630336,618324224,665326784,588686336,112516112,127307696,114837720,108206376,110392688,108814344,156108176,148084976,124091528,141098320,127211312,118989728,192532576,185482400,74233104,107189984,122799840,228813904,159482464,74856832,575468352,691125504,686198656,724904000,694433664,735316928,708168384,625882112,664912640,716508416,639175360,66114320,71764472,72885320,61440420,73278600,659546752,354037248,297415040,252555584,273471648,232373184,187222752,338571712,217125136,64049868,242157504,237300032,423833248,199026464,144661792
glutamine,C00064,5961,HMDB00641,8487120896,9108987904,8290434560,9281294336,8663152640,8657920000,9097520128,8772175872,8561561600,8761866240,8680788992,8631669760,8269555712,7698931200,8072357376,7923740672,7657300480,8059628032,7056072192,7720462336,7574790144,8487081472,7681868288,7740178944,7579687936,7629549568,7639898624,7660530176,7885873664,7817873920,8254000128,8185811968,8545195008,7607103488,8318592512,8215035392,8527822336,9466477568,9117600768,8742040576,9158125568,8850954240,8076126720,8289945600,7207001088,8010860544,7243618816,8252943360,7696845824,6862302720,7854882304,7174748672,8426314240,8437489152,7467579904,7797749248,8062816256,8232792064,7250589184,7495771648,7426632704,7742227968
glutamine conjugate of C6H10O2 (2)*,,,,,,,,,,455661,438508,409842,308871,141464,,,,,,,,125199,,,175270,246099,192303,188718,168167,161899,247306,233971,236026,,,,,,,,560311,473388,410523,512940,244803,,157578,,112703,140487,,160284,,117139,129004,,97162,291402,182446,255640,202659,174256,183572,182779,377763
glutarate (C5-DC),C00489,743,HMDB00661,91085,306936,425803,,,,248012,226161,,,,,,,,222382,361895,280382,348922,219501,307329,,,127077,842088,,218770,325321,,606203,,,550484,223991,595514,383185,195085,,,,,,,260903,408948,,216046,,324365,221648,293591,107207,497937,290682,714822,780905,220506,249503,552038,395408,306936,471399
glycerate,C00258,752,HMDB00139,2138922,2227696,1992977,2106838,2650319,2233323,15396719,16477827,17185988,21620894,7593117,2306403,2314313,3175507,2140574,3232029,2928785,3229206,4205483,4128647,4032377,59817912,91297832,52745936,72433920,20518336,54902716,82444376,36374096,70970520,21459262,2428581,3813304,5724478,4133826,3745140,4205518,20908598,21021156,21178980,28710604,9604684,3172552,3029483,3580040,3634963,4073671,3767015,4830548,4709128,7774068,5905429,79941256,99220848,61113600,89907160,27844070,71339232,86663744,69656808,96165120,44905232
glycerol,C00116,753,HMDB00131,511958,961105,3480476,,1546328,124787,,,,2182604,1591728,507563,2840267,,2690763,,,13475446,2908990,16465097,,,,,,,,426648,,,,282008,6686457,109677328,4614982,121609720,5028042,,3883860,,1854031,725026,945329,2977713,,3895274,,6907882,85924280,4359254,104851080,8385391,,,,,,,1521758,,626293,
glycerol 3-phosphate,C00093,754,HMDB00126,,,,,,,2868239,2238018,3063860,3779343,914160,2235533,3262708,3624275,4254251,5346060,2159819,4145322,6065285,3727784,6024032,4897089,6255453,7793991,6463327,6626575,5150391,6313800,7719645,6448989,8766751,,901223,1298190,1476362,1558712,1068913,3677615,2836832,2718818,4413056,1399558,2122959,3272573,4122287,3671689,5497057,1177238,16897608,16750367,20281040,18092798,4699140,5517851,5164555,5086615,7735282,4103348,4792181,5005271,4637217,9759173
glycerophosphoethanolamine,C01233,123874,HMDB00114,,,,,,,,,,,,,985028,1343848,2243415,2496814,2228708,2783024,2819594,2413641,3115668,1706858,3184548,4161823,3716627,4078075,1641171,3207846,4510433,3340537,3829083,,,,,,,,,,,,,1838632,2060387,1085221,2284332,,11661060,12283017,11152327,9948867,2229399,3713595,3071316,3357388,4031373,2442573,4118481,3674628,3124179,6639352
glycerophosphoglycerol,C03274,439964,,,,,,,,,297072,,388657,,,,144589,,113740,,40709,220150,39850,310409,977386,627408,498050,946450,715134,975031,600301,989224,843859,379788,,,,,,,64765,272063,187509,418277,,131919,29486,273629,35913,282464,,111009,403467,137305,297005,687567,502814,668733,703754,823174,793575,495972,1070272,700946,660073
glycerophosphoinositol*,,167572,,,,,,,,,,,,,,,124487,,577702,,118006,367697,,682396,,277870,348040,206313,627942,68278,240766,328094,255514,710345,,,,,,,,,,,,,200890,334295,,678288,,925548,1204092,723732,1288276,,447929,241495,356166,464505,166187,395927,397377,435752,1016149
glycerophosphorylcholine (GPC),C00670,71920,HMDB00086,,521161,,,,,,,,,,6524480,10660446,9824245,13314216,14628148,13385522,15662866,14474823,11605390,16378984,6945038,12212624,14835997,11667721,13181788,6852148,11904729,18275808,10555010,13203929,,4057425,3342746,4859440,4035043,4158934,,,,,,6239817,13064715,11950576,10689969,12823846,4234728,40704172,39632464,40082160,37131960,12611868,19812368,17847342,17073480,14850453,12088113,14235342,15053302,12009008,21698220
